date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-12-24 18:26:14,GuerchonCHAVANE,,0,0,0,"Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l’Artibonite, en moins de deux mois: http://alterpresse.org/spip.php?artic…",,,,680092133160689665,https://twitter.com/GuerchonCHAVANE/status/680092133160689665
2015-12-24 08:00:41,ijdh,,0,9,6,"BAI demands the high-level Committee for the Elimination of Cholera in Haiti take real action &amp; be transparent: http://bit.ly/1NCWkfZ",,,,679934709418340352,https://twitter.com/ijdh/status/679934709418340352
2015-12-24 03:14:55,Earthquake_rt,,0,0,0,"Earthquake in Haiti creates cholera epidemic disease and potential economic disaster: why is it not curable? ",,,,679862791948337152,https://twitter.com/Earthquake_rt/status/679862791948337152
2015-12-24 03:09:52,CazeauHue,,0,0,1,"Earthquake in Haiti creates cholera epidemic disease and potential economic disaster: why is it not curable? ",,,,679861522512920576,https://twitter.com/CazeauHue/status/679861522512920576
2015-12-23 22:56:24,robinseveri,,0,0,0,"""@LifeFilta: #Haïti's chronische ziektes http://www.mo.be/reportage/ha-tis-chronische-ziektes @mondiaalnieuws"" oplossing voor #CHOLERA= veilig #drinkwater #WATERFILTERS",,@LifeFilta @mondiaalnieuws,#Ha #CHOLERA #drinkwater #WATERFILTERS,679797735550238720,https://twitter.com/robinseveri/status/679797735550238720
2015-12-23 19:23:06,WeillCornell,,0,2,2,"#GHESKIO's new #TB and #cholera hospitals embrace Haiti’s sunlight and tropical breezes http://bit.ly/1YxLfW3",,,#GHESKIO #TB #cholera,679744056470192128,https://twitter.com/WeillCornell/status/679744056470192128
2015-12-23 16:47:28,magbanaoye,,0,0,0,"RT @HaitiJustice Haiti Cholera Victims Rejoice: We Have a Committee! https://shar.es/1Gz6O5 via @ShareThis",,@HaitiJustice @ShareThis,,679704887089852417,https://twitter.com/magbanaoye/status/679704887089852417
2015-12-23 16:47:28,Guineaoye,,0,0,0,"RT @HaitiJustice Haiti Cholera Victims Rejoice: We Have a Committee! https://shar.es/1Gz6O5 via @ShareThis",,@HaitiJustice @ShareThis,,679704887077265408,https://twitter.com/Guineaoye/status/679704887077265408
2015-12-23 14:41:02,kicufojoqyd,,0,0,0,"Cholera outbreak creeps closer to Haiti’s capital http://ift.tt/1SbsQJt",,,,679673069049376768,https://twitter.com/kicufojoqyd/status/679673069049376768
2015-12-23 14:35:15,Hlth_Literacy,,0,0,0,"Factors Related to Fetal Death in Pregnant Women with Cholera, #Haiti, 2011–2014 http://goo.gl/l2is6Y HT @CDC_EIDjournal",,@CDC_EIDjournal,#Haiti,679671615886594050,https://twitter.com/Hlth_Literacy/status/679671615886594050
2015-12-23 14:24:05,huggjea,,0,0,0,"Ban Ki-moon préoccupé http://www.haitilibre.com/article-16136-haiti-elections-ban-ki-moon-preoccupe-par-l-incertitude-politique-en-haiti.html via @HaitiLibre Il n'a rien dit du cholera apporte en Haiti par la Minusta .",,@HaitiLibre,,679668806059474944,https://twitter.com/huggjea/status/679668806059474944
2015-12-23 11:30:36,HIV_Insight,,0,2,1,"Factors Related to Fetal Death in Pregnant Women with Cholera, #Haiti, 2011–2014 http://goo.gl/l2is6Y HT @CDC_EIDjournal",,@CDC_EIDjournal,#Haiti,679625145607163904,https://twitter.com/HIV_Insight/status/679625145607163904
2015-12-23 02:35:14,moisegarcon,,0,0,0,"Retweeted Brian Concannon (@HaitiJustice): Haiti Cholera Victims Rejoice: We Have a Committee!... http://fb.me/7xtyHVViV",,@HaitiJustice,,679490416941608960,https://twitter.com/moisegarcon/status/679490416941608960
2015-12-23 02:34:24,HaitiJustice,,0,2,5,"Haiti Cholera Victims Rejoice: We Have a Committee! https://shar.es/1Gz6O5 via @sharethis",,@ShareThis,,679490208069513216,https://twitter.com/HaitiJustice/status/679490208069513216
2015-12-22 21:24:11,albertbazile,,0,0,1,"Let’s all play our part in fighting corruption fraud drug cholera people like @VOUvouYe @SVilledrouin.:#Haiti @HBeaucejour @AdyTimmer @AFP",,@SVilledrouin @HBeaucejour @AdyTimmer @AFP,#Haiti,679412137568157700,https://twitter.com/albertbazile/status/679412137568157700
2015-12-22 19:48:47,mlafontrapnouil,RFI,0,0,1,"#violences #séisme #pauvreté #déforestation #choléra #élections L'interminable crise en #Haïti ",,,#violences #s #pauvret #d #chol #Ha,679388129413959682,https://twitter.com/mlafontrapnouil/status/679388129413959682
2015-12-22 18:04:10,innercitypress,,0,0,3,"#BanKiMoon “concerned at political uncertainty in #Haiti.” Those killed by #UN's #cholera? Song: ",,,#BanKiMoon #Haiti #UN #cholera,679361801243500544,https://twitter.com/innercitypress/status/679361801243500544
2015-12-22 12:01:50,FrooseNutrition,,0,0,1,"Clean water means less cholera, better nutrition and more kids in school in Haiti. #WaterIs Future!",,,#WaterIs,679270617284280320,https://twitter.com/FrooseNutrition/status/679270617284280320
2015-12-22 01:44:26,DWWImmigration,HaitiJustice,0,1,1,"Use your language skills to help Haiti's cholera victims. ",,,,679115245827309568,https://twitter.com/DWWImmigration/status/679115245827309568
2015-12-22 01:07:22,Myhand94606,,0,0,0,"Demand @UN action to save lives and wipe out killer #cholera in Haiti! Sign: https://secure.avaaz.org/en/petition/En",,@UN,#cholera,679105918273892352,https://twitter.com/Myhand94606/status/679105918273892352
2015-12-21 16:24:03,AllHandsDotNet,,0,3,0,"#Haiti: Hundreds of #cholera cases,... http://crofsblogs.typepad.com/h5n1/2015/12/haiti-hundreds-of-cholera-cases-12-deaths-in-artibonite.html",,,#Haiti #cholera,678974220450312193,https://twitter.com/AllHandsDotNet/status/678974220450312193
2015-12-21 16:10:43,nnepton,,0,1,0,"Épidémie de choléra en #Haïti: pas un sou d’indemnisation, l'ONU jouissant d'une impunité qui la discrédite http://www.equaltimes.org/epidemie-de-cholera-en-haiti-l",,,#Ha,678970863836762114,https://twitter.com/nnepton/status/678970863836762114
2015-12-21 12:45:40,ChallengesNews,,0,1,0,"Happening Now: Gheskio Cholera Treatment Centre in #Haiti receives architecture award- http://ow.ly/W8OGT",,,#Haiti,678919260828209154,https://twitter.com/ChallengesNews/status/678919260828209154
2015-12-21 02:08:03,HumanityNews,,0,0,0,"News: Haiti: Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l’Artibonite, en moins de deux… http://dlvr.it/D3rGZs",,,,678758802879963136,https://twitter.com/HumanityNews/status/678758802879963136
2015-12-21 02:04:59,HaitiLives,,0,0,1,"Gheskio Cholera Treatment Centre in Haiti receives architecture award https://challengesnews.com/gheskio-cholera-treatment-centre-in-haiti-receives-architecture-award/ via @ChallengesNews",,@ChallengesNews,,678758029727141888,https://twitter.com/HaitiLives/status/678758029727141888
2015-12-21 01:24:55,FanmSexy,,0,0,0,"Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l'Artibonite, en moins de deux mois: Cor... http://bit.ly/1S0gR1p",,,,678747945521426432,https://twitter.com/FanmSexy/status/678747945521426432
2015-12-20 19:10:46,NathyE2,,0,0,1,"Gheskio Cholera Treatment Centre in Haiti receives architecture award https://challengesnews.com/gheskio-cholera-treatment-centre-in-haiti-receives-architecture-award/",,,,678653789956476928,https://twitter.com/NathyE2/status/678653789956476928
2015-12-20 18:32:15,NAAHPHaiti,,0,1,4,"Gheskio Cholera Treatment Centre in Haiti receives architecture award: Image via the New York Times. Editor’s ... http://bit.ly/1YujxEi",,,,678644094424367105,https://twitter.com/NAAHPHaiti/status/678644094424367105
2015-12-20 17:02:38,ijdh,,0,3,1,"Building water and sanitation in #Haiti req's great resources, resources that the UN happens to possess. http://bit.ly/1P3uiuA #cholera",,,#Haiti #cholera,678621540397789184,https://twitter.com/ijdh/status/678621540397789184
2015-12-20 16:15:07,ChallengesNews,,0,0,0,"Happening Now: Gheskio Cholera Treatment Centre in #Haiti receives architecture award- http://ow.ly/W8Ovb",,,#Haiti,678609582822920192,https://twitter.com/ChallengesNews/status/678609582822920192
2015-12-20 16:15:07,lbigio,,0,1,1,"Happening Now: Gheskio Cholera Treatment Centre in #Haiti receives architecture award- http://ow.ly/W8OBX",,,#Haiti,678609582755864577,https://twitter.com/lbigio/status/678609582755864577
2015-12-20 15:40:11,kombit,,0,2,0,"Haiti: Hundreds of cholera cases, 12 deaths in Artibonite: Gonaives, December 18 2015 [AlterPresse] --- A doze... http://bit.ly/1QCEiy7",,,,678600793763635200,https://twitter.com/kombit/status/678600793763635200
2015-12-20 15:09:45,EbolaPope,,0,1,1,"RT Crof: Haiti: Hundreds of #cholera cases, 12 deaths in Artibonite http://ift.tt/1m1u11Z",,,#cholera,678593133882572800,https://twitter.com/EbolaPope/status/678593133882572800
2015-12-20 14:54:44,Crof,,0,12,3,"Haiti: Hundreds of #cholera cases, 12 deaths in Artibonite http://crofsblogs.typepad.com/h5n1/2015/12/haiti-hundreds-of-cholera-cases-12-deaths-in-artibonite.html",,,#cholera,678589355703668736,https://twitter.com/Crof/status/678589355703668736
2015-12-20 14:43:13,EtantDupain,,0,11,1,"Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l’Artibonite, en moins de deux mois: http://www.alterpresse.org/spip.php?article19392#.Vna-cZy1JsJ.twitter",,,,678586456990875648,https://twitter.com/EtantDupain/status/678586456990875648
2015-12-20 14:40:24,imfernandezRD,michaelcdeibert,0,0,0,"Otro brote de cholera en Haiti. Preparemosnos!! ",,,,678585749336264704,https://twitter.com/imfernandezRD/status/678585749336264704
2015-12-20 14:34:27,michaelcdeibert,,0,2,0,"12 dead, hundreds ill after resurgence of #cholera in #Haiti's #Artibonite http://www.alterpresse.org/spip.php?article19392#.Vna684XfbL8 #MINUSTAH",,,#cholera #Haiti #Artibonite #MINUSTAH,678584252540264450,https://twitter.com/michaelcdeibert/status/678584252540264450
2015-12-20 11:40:27,RemembrerHaiti,,0,0,0,"Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l'Artibonite, en moins de deux mois: Cor... http://bit.ly/1S0gR1p",,,,678540462509174785,https://twitter.com/RemembrerHaiti/status/678540462509174785
2015-12-20 06:19:02,gotsonpierre,,0,0,0,"Haïti-Choléra : 12 morts et des centaines de personnes infectées dans l’Artibonite, en moins de... http://fb.me/AeLB0MIK",,,,678459576233172992,https://twitter.com/gotsonpierre/status/678459576233172992
2015-12-20 01:41:52,innercitypress,,0,2,0,".@BernieSanders says quickly, Yes, I apologize. From UN must say: #BanKiMoon never does that: #Haiti #cholera #SriLanka",,@BernieSanders,#BanKiMoon #Haiti #cholera #SriLanka,678389823820988416,https://twitter.com/innercitypress/status/678389823820988416
2015-12-20 01:27:41,galcesse,,0,0,0,"Haïti-Choléra : plusieurs morts et des centaines de personnes infectées dans la Grand-anse",,,,678386255856459777,https://twitter.com/galcesse/status/678386255856459777
